negative_topic,review_count,negative_topic_cn
"size_issue,fabric_quality,style_design",326,尺码问题、面料质量、款式设计不符合预期
"size_issue,fabric_quality,color_mismatch,style_design",276,尺码问题、面料质量、颜色/图片不符、款式设计不符合预期
"size_issue,style_design",162,尺码问题、款式设计不符合预期
"size_issue,color_mismatch,style_design",110,尺码问题、颜色/图片不符、款式设计不符合预期
"size_issue,fabric_quality",109,尺码问题、面料质量
"fabric_quality,style_design",97,面料质量、款式设计不符合预期
size_issue,97,尺码问题
"size_issue,fabric_quality,style_design,return_intention",82,尺码问题、面料质量、款式设计不符合预期、退换货倾向明显
"fabric_quality,color_mismatch,style_design",79,面料质量、颜色/图片不符、款式设计不符合预期
"size_issue,fabric_quality,color_mismatch",68,尺码问题、面料质量、颜色/图片不符
"size_issue,fabric_quality,color_mismatch,style_design,return_intention",66,尺码问题、面料质量、颜色/图片不符、款式设计不符合预期、退换货倾向明显
style_design,57,款式设计不符合预期
fabric_quality,53,面料质量
"size_issue,style_design,return_intention",52,尺码问题、款式设计不符合预期、退换货倾向明显
"size_issue,fabric_quality,color_mismatch,style_design,price_value",52,尺码问题、面料质量、颜色/图片不符、款式设计不符合预期、价格感知偏高
"size_issue,return_intention",48,尺码问题、退换货倾向明显
"size_issue,fabric_quality,style_design,price_value",44,尺码问题、面料质量、款式设计不符合预期、价格感知偏高
"size_issue,color_mismatch",36,尺码问题、颜色/图片不符
"fabric_quality,style_design,return_intention",34,面料质量、款式设计不符合预期、退换货倾向明显
"color_mismatch,style_design",33,颜色/图片不符、款式设计不符合预期
"size_issue,color_mismatch,style_design,return_intention",31,尺码问题、颜色/图片不符、款式设计不符合预期、退换货倾向明显
"fabric_quality,style_design,price_value",29,面料质量、款式设计不符合预期、价格感知偏高
other,29,其他体验问题
"fabric_quality,color_mismatch,style_design,price_value",27,面料质量、颜色/图片不符、款式设计不符合预期、价格感知偏高
"size_issue,fabric_quality,price_value",23,尺码问题、面料质量、价格感知偏高
"size_issue,fabric_quality,return_intention",23,尺码问题、面料质量、退换货倾向明显
"fabric_quality,color_mismatch",22,面料质量、颜色/图片不符
"fabric_quality,return_intention",20,面料质量、退换货倾向明显
"size_issue,style_design,price_value",19,尺码问题、款式设计不符合预期、价格感知偏高
"style_design,return_intention",18,款式设计不符合预期、退换货倾向明显
"fabric_quality,color_mismatch,style_design,return_intention",16,面料质量、颜色/图片不符、款式设计不符合预期、退换货倾向明显
"size_issue,fabric_quality,color_mismatch,return_intention",15,尺码问题、面料质量、颜色/图片不符、退换货倾向明显
"fabric_quality,price_value",14,面料质量、价格感知偏高
color_mismatch,14,颜色/图片不符
"size_issue,fabric_quality,style_design,price_value,return_intention",14,尺码问题、面料质量、款式设计不符合预期、价格感知偏高、退换货倾向明显
"size_issue,color_mismatch,style_design,price_value",13,尺码问题、颜色/图片不符、款式设计不符合预期、价格感知偏高
"size_issue,color_mismatch,return_intention",11,尺码问题、颜色/图片不符、退换货倾向明显
"style_design,price_value",11,款式设计不符合预期、价格感知偏高
"size_issue,fabric_quality,color_mismatch,style_design,price_value,return_intention",11,尺码问题、面料质量、颜色/图片不符、款式设计不符合预期、价格感知偏高、退换货倾向明显
"size_issue,price_value",11,尺码问题、价格感知偏高
"fabric_quality,color_mismatch,return_intention",11,面料质量、颜色/图片不符、退换货倾向明显
"color_mismatch,return_intention",10,颜色/图片不符、退换货倾向明显
"size_issue,fabric_quality,color_mismatch,price_value",10,尺码问题、面料质量、颜色/图片不符、价格感知偏高
"fabric_quality,price_value,return_intention",9,面料质量、价格感知偏高、退换货倾向明显
"fabric_quality,color_mismatch,price_value",9,面料质量、颜色/图片不符、价格感知偏高
return_intention,9,退换货倾向明显
"fabric_quality,style_design,price_value,return_intention",8,面料质量、款式设计不符合预期、价格感知偏高、退换货倾向明显
price_value,8,价格感知偏高
"color_mismatch,style_design,return_intention",8,颜色/图片不符、款式设计不符合预期、退换货倾向明显
"size_issue,fabric_quality,price_value,return_intention",7,尺码问题、面料质量、价格感知偏高、退换货倾向明显
"fabric_quality,color_mismatch,style_design,price_value,return_intention",5,面料质量、颜色/图片不符、款式设计不符合预期、价格感知偏高、退换货倾向明显
"fabric_quality,color_mismatch,price_value,return_intention",5,面料质量、颜色/图片不符、价格感知偏高、退换货倾向明显
"size_issue,fabric_quality,color_mismatch,price_value,return_intention",5,尺码问题、面料质量、颜色/图片不符、价格感知偏高、退换货倾向明显
"size_issue,color_mismatch,price_value",4,尺码问题、颜色/图片不符、价格感知偏高
"color_mismatch,style_design,price_value",3,颜色/图片不符、款式设计不符合预期、价格感知偏高
"size_issue,color_mismatch,style_design,price_value,return_intention",3,尺码问题、颜色/图片不符、款式设计不符合预期、价格感知偏高、退换货倾向明显
"color_mismatch,price_value,return_intention",1,颜色/图片不符、价格感知偏高、退换货倾向明显
"size_issue,style_design,price_value,return_intention",1,尺码问题、款式设计不符合预期、价格感知偏高、退换货倾向明显
"color_mismatch,price_value",1,颜色/图片不符、价格感知偏高
"style_design,price_value,return_intention",1,款式设计不符合预期、价格感知偏高、退换货倾向明显
